d13C,d18O,foram_species,depth_mcd,age_ka
0.96,3.94,CWUE,32.928700,995.24400
0.98,3.33,CWUE,33.037600,998.66600
1.14,3.87,CWUE,33.037600,998.66600
0.96,3.65,CKULL,33.037600,998.66600
1.11,3.49,CWUE,33.092000,1000.46000
1.04,3.50,CWUE,33.146400,1002.54000
0.93,3.44,CWUE,33.146400,1002.54000
0.97,3.57,CKULL,33.146400,1002.54000
0.88,3.68,CWUE,33.197900,1004.51000
0.24,3.87,CSPP,33.237100,1006.01000
0.71,3.80,CSPP,33.276400,1007.51000
0.89,4.09,CKULL,33.315700,1009.01000
1.03,3.98,CWUE,33.355000,1010.51000
0.90,4.13,CWUE,33.394300,1012.02000
1.00,3.85,CWUE,33.433600,1013.60000
0.34,4.03,CWUE,33.472900,1015.35000
0.84,3.65,CSPP,33.512100,1017.10000
1.20,3.41,CWUE,33.551400,1018.84000
0.68,3.71,CWUE,33.590700,1020.59000
1.14,3.34,CKULL,33.630000,1022.33000
1.23,3.38,CWUE,33.678100,1024.47000
1.12,3.53,CWUE,33.726300,1026.61000
1.02,3.39,CWUE,33.774400,1028.75000
1.01,3.56,CWUE,33.822600,1030.75000
0.92,3.63,CWUE,33.870700,1032.73000
0.52,4.01,CWUE,33.921000,1034.80000
0.98,4.11,CWUE,33.972600,1036.92000
1.01,4.18,CWUE,34.044800,1039.89000
0.85,4.23,CWUE,34.148100,1044.14000
0.71,4.04,CSPP,34.251300,1048.38000
-0.29,4.20,CWUE,34.368700,1053.21000
0.07,4.35,CWUE,34.456200,1056.81000
-0.01,3.93,CWUE,34.457700,1056.87000
0.82,3.54,CWUE,34.572000,1061.57000
0.58,3.38,NUMB,34.628300,1063.88000
0.85,3.47,CKULL,34.636100,1064.20000
0.97,3.38,CWUE,34.711500,1067.30000
1.10,3.04,CWUE,34.787100,1070.41000
1.14,3.09,CWUE,34.787100,1070.41000
0.93,3.45,CKULL,34.862700,1073.47000
1.05,3.09,CWUE,34.938300,1076.24000
1.05,3.34,CWUE,35.013900,1079.01000
1.05,3.68,CWUE,35.089500,1081.78000
1.07,3.76,CWUE,35.167000,1084.83000
0.40,3.68,CWUE,35.251700,1088.96000
0.47,3.82,CWUE,35.336500,1093.09000
0.61,3.42,CWUE,35.336500,1093.09000
0.45,3.93,CWUE,35.421300,1097.22000
0.38,4.04,CWUE,35.506100,1101.35000
0.92,3.86,CSPP,35.606700,1105.04000
1.09,3.47,CWUE,35.717800,1108.43000
0.55,3.09,NUMB,35.828900,1111.83000
0.66,3.53,CBRA,35.828900,1111.83000
0.97,3.65,CWUE,35.940000,1115.26000
0.99,3.67,CWUE,35.940000,1115.26000
0.74,3.70,CWUE,36.051100,1118.75000
0.63,3.96,CWUE,36.153900,1121.98000
-0.01,4.39,CWUE,36.223600,1124.17000
0.24,4.36,CWUE,36.293300,1126.36000
0.41,4.10,CWUE,36.363000,1128.55000
0.76,3.99,CBRA,36.432700,1130.74000
0.24,3.58,CWUE,36.432700,1130.74000
